file,label,dist_centroid,valence,arousal,familiarity,title,composer,film,year,genre,director
robotscapturehumansmarkmothersbaughthemitchellsvsthemachinessample2mp3.mp3,0,2.1654974283729223,0.1525,-0.4,familiar,Robots Capture Humans,Mark Mothersbaugh,The Mitchells vs the Machines,2021.0,Animation Adventure Comedy,"Michael Rianda, Jeff Rowe"
sparksleoscaraxronmaelrusselmaelshesoutofthisworldannettesample1mp3.mp3,0,2.1697404359958177,0.63445,-0.005940000000000001,never-heard-this,She's Out Of This World!,"Sparks, Leos Carax, Ron Mael, Russel Mael, Adam Driver, Marion Cotillard",Annette,2021.0,Drama Musical Romance,Leos Carax
acrosstheoceanthomasnewmanelementalsample1mp3.mp3,0,2.1755310881896404,0.37198,0.53083,familiar-feeling-not-familiar,Across The Ocean,Thomas Newman,Elemental,2023.0,Animation Adventure Comedy,Peter Sohn
allquietonthewesternfrontremainsvolkerbertelmannsample2mp3.mp3,0,2.2376600103462456,0.71898,0.0022699999999999942,familiar-feeling-not-familiar,Remains,Volker Bertelmann,All Quiet on the Western Front,2022.0,Action Drama War,Edward Berger
dustmybroomelmorejamesthewolfofwallstreetsample2mp3.mp3,0,2.2544762165888783,0.20886499999999997,0.200155,familiar,Dust My Broom,Elmore James,The Wolf Of Wall Street,2013.0,Biography Comedy Crime,Martin Scorsese
arrivalheptapodbjohannjohannssonsample1mp3.mp3,0,2.2592735685691734,0.19344,0.245,never-heard-this,Heptapod B,Jóhann Jóhannsson,Arrival,2016.0,Drama Mystery Sci-Fi,Denis Villeneuve
sikilizakwawahengamichaelabelsgetoutsample2mp3.mp3,0,2.2608826109009246,0.26797000000000004,-0.46297,never-heard-this,Sikiliza Kwa Wahenga,Michael Abels,Get Out,2017.0,Horror Mystery Thriller,Jordan Peele
summermontagemadelinelalalandjustinhurwitzsample2mp3.mp3,0,2.270083515293966,0.83225,0.73305,never-heard-this,Summer Montage / Madeline,Justin Hurwitz,La La Land,2016.0,Comedy Drama Music,Damien Chazelle
inmotiontrentreznorandatticusrossthesocialnetworksample2mp3.mp3,0,2.2980941528141248,0.5586450000000001,-0.016670000000000004,not-sure,In Motion,"Trent Reznor, Atticus Ross",The Social Network,2010.0,Biography Drama,David Fincher
brothersinarmsmadmaxfuryroadjunkiexlsample1mp3.mp3,0,2.30073459445574,0.51121,-0.07566,familiar,Brothers In Arms,Tom Holkenborg - Junkie XL,Mad Max: Fury Road,2015.0,Action Adventure Sci-Fi,George Miller
sparksleoscaraxronmaelrusselmaelshesoutofthisworldannettesample2mp3.mp3,0,2.3431233567307035,0.61031,0.8198099999999999,definitely-familiar,She's Out Of This World!,"Sparks, Leos Carax, Ron Mael, Russel Mael, Adam Driver, Marion Cotillard",Annette,2021.0,Drama Musical Romance,Leos Carax
marcobeltramibucksanderslemans66fordvferrarisample2mp3.mp3,0,2.3859267851940476,0.25302,0.386155,familiar-feeling-not-familiar,Le Mans 66,Marco Beltrami/Buck Sanders,Ford v Ferrari,2019.0,Action Biography Drama,James Mangold
duneripplesinthesandhanszimmersample2mp3.mp3,0,2.402446330446721,0.45297,0.636875,familiar,Ripples In The Sand,Hans Zimmer,Dune,2021.0,Action Adventure Drama,Denis Villeneuve
drivemycartheimportantthingistoworkeikoishibashisample1mp3.mp3,0,2.4085213497205396,0.01848,0.60004,familiar-feeling-not-familiar,Drive My Car,Eiko Ishibashi,Drive my Car,2021.0,Drama,Ryûsuke Hamaguchi
shivathemebrahmastrapritamsample1mp3.mp3,0,2.410187422239526,0.84648,0.27555,familiar,Sheva Theme,Pritam Chakraborty,Brahmastra Part One: Shiva,2022.0,Action Adventure Fantasy,Ayan Mukerji
allquietonthewesternfrontremainsvolkerbertelmannsample1mp3.mp3,0,2.4108035850911644,0.06479499999999999,-0.214165,never-heard-this,Remains,Volker Bertelmann,All Quiet on the Western Front,2022.0,Action Drama War,Edward Berger
robrobincauderthauntedpianomaniacsample2mp3.mp3,0,2.419093487144757,0.22398,0.18102,never-heard-this,Haunted Piano,"Rob, Robin Caudert",Maniac,2012.0,Horror Thriller,Franck Khalfoun
arrivalheptapodbjohannjohannssonsample2mp3.mp3,0,2.4588672871453396,0.66266,0.63901,never-heard-this,Heptapod B,Jóhann Jóhannsson,Arrival,2016.0,Drama Mystery Sci-Fi,Denis Villeneuve
